Playback mode: Real-time x5
Flight log started
t = 142635 ms, altitude = -0.33, az = -0.02, temperature = 17.38, battery = 12.2525, state = Landed
[Error] AltitudeNegative at t = 142635 ms
t = 142998 ms, altitude = -0.51, az = -0.02, temperature = 17.38, battery = 12.2523, state = Landed
[Error] AltitudeNegative at t = 142998 ms
t = 143362 ms, altitude = -0.68, az = 0.04, temperature = 17.39, battery = 12.2522, state = Landed
[Error] AltitudeNegative at t = 143362 ms
t = 143729 ms, altitude = -0.84, az = 0.01, temperature = 17.39, battery = 12.2521, state = Landed
[Error] AltitudeNegative at t = 143729 ms
t = 144094 ms, altitude = -1, az = -0.01, temperature = 17.38, battery = 12.252, state = Landed
[Error] AltitudeNegative at t = 144094 ms
t = 144457 ms, altitude = -1.11, az = 0.01, temperature = 17.38, battery = 12.2518, state = Landed
[Error] AltitudeNegative at t = 144457 ms
t = 144823 ms, altitude = -1.21, az = 0.03, temperature = 17.39, battery = 12.2517, state = Landed
[Error] AltitudeNegative at t = 144823 ms
t = 145187 ms, altitude = -1.31, az = -0.01, temperature = 17.38, battery = 12.2516, state = Landed
[Error] AltitudeNegative at t = 145187 ms
t = 145554 ms, altitude = -1.37, az = 0, temperature = 17.38, battery = 12.2515, state = Landed
[Error] AltitudeNegative at t = 145554 ms
t = 145920 ms, altitude = -1.44, az = 0.01, temperature = 17.39, battery = 12.2514, state = Landed
[Error] AltitudeNegative at t = 145920 ms
t = 146284 ms, altitude = -1.5, az = 0.04, temperature = 17.4, battery = 12.2512, state = Landed
[Error] AltitudeNegative at t = 146284 ms
t = 146648 ms, altitude = -1.58, az = 0.03, temperature = 17.4, battery = 12.2511, state = Landed
[Error] AltitudeNegative at t = 146648 ms
t = 147012 ms, altitude = -1.63, az = -0.01, temperature = 17.4, battery = 12.251, state = Landed
[Error] AltitudeNegative at t = 147012 ms
t = 147380 ms, altitude = -1.67, az = -0.02, temperature = 17.41, battery = 12.2509, state = Landed
[Error] AltitudeNegative at t = 147380 ms
t = 147744 ms, altitude = -1.73, az = 0.01, temperature = 17.41, battery = 12.2508, state = Landed
[Error] AltitudeNegative at t = 147744 ms
t = 148108 ms, altitude = -1.78, az = 0.04, temperature = 17.42, battery = 12.2506, state = Landed
[Error] AltitudeNegative at t = 148108 ms
t = 148471 ms, altitude = -1.82, az = 0.03, temperature = 17.42, battery = 12.2505, state = Landed
[Error] AltitudeNegative at t = 148471 ms
t = 148836 ms, altitude = -1.86, az = -0.02, temperature = 17.42, battery = 12.2504, state = Landed
[Error] AltitudeNegative at t = 148836 ms
t = 149203 ms, altitude = -1.88, az = 0.05, temperature = 17.43, battery = 12.2503, state = Landed
[Error] AltitudeNegative at t = 149203 ms
t = 149568 ms, altitude = -1.91, az = 0.02, temperature = 17.43, battery = 12.2501, state = Landed
[Error] AltitudeNegative at t = 149568 ms
t = 149932 ms, altitude = -1.93, az = 0.02, temperature = 17.43, battery = 12.25, state = Landed
[Error] AltitudeNegative at t = 149932 ms
t = 150296 ms, altitude = -1.95, az = -0.01, temperature = 17.43, battery = 12.2499, state = Landed
[Error] AltitudeNegative at t = 150296 ms
t = 150660 ms, altitude = -1.96, az = 0.04, temperature = 17.44, battery = 12.2498, state = Landed
[Error] AltitudeNegative at t = 150660 ms
t = 151028 ms, altitude = -1.98, az = 0.03, temperature = 17.43, battery = 12.2497, state = Landed
[Error] AltitudeNegative at t = 151028 ms
t = 151392 ms, altitude = -1.97, az = -0.02, temperature = 17.43, battery = 12.2495, state = Landed
[Error] AltitudeNegative at t = 151392 ms
t = 151756 ms, altitude = -1.98, az = 0.04, temperature = 17.44, battery = 12.2494, state = Landed
[Error] AltitudeNegative at t = 151756 ms
t = 152120 ms, altitude = -1.99, az = -0.01, temperature = 17.44, battery = 12.2493, state = Landed
